"","contest","candidate_count","year","contested","choice","party","district"
"1","NC STATE SENATE DISTRICT 1",1,2008,"No","Marc Basnight","DEM","1"
"2","NC STATE SENATE DISTRICT 10",1,2008,"No","Charles W. (Charlie) Albertson","DEM","10"
"3","NC STATE SENATE DISTRICT 11",1,2008,"No","A.B. Swindell","DEM","11"
"4","NC STATE SENATE DISTRICT 12",2,2008,"Yes","David Rouzer","REP","12"
"5","NC STATE SENATE DISTRICT 12",2,2008,"Yes","Kay Carroll","DEM","12"
"6","NC STATE SENATE DISTRICT 13",1,2008,"No","David F. Weinstein","DEM","13"
"7","NC STATE SENATE DISTRICT 14",2,2008,"Yes","Vernon Malone","DEM","14"
"8","NC STATE SENATE DISTRICT 14",2,2008,"Yes","Carol Bennett","REP","14"
"9","NC STATE SENATE DISTRICT 15",3,2008,"Yes","Neal Hunt","REP","15"
"10","NC STATE SENATE DISTRICT 15",3,2008,"Yes","Chris Mintz","DEM","15"
"11","NC STATE SENATE DISTRICT 15",3,2008,"Yes","Jan MacKay","LIB","15"
"12","NC STATE SENATE DISTRICT 16",2,2008,"Yes","John M. Alexander, Jr.","REP","16"
"13","NC STATE SENATE DISTRICT 16",2,2008,"Yes","Josh Stein","DEM","16"
"14","NC STATE SENATE DISTRICT 17",2,2008,"Yes","Richard Stevens","REP","17"
"15","NC STATE SENATE DISTRICT 17",2,2008,"Yes","Brian Irving","LIB","17"
"16","NC STATE SENATE DISTRICT 18",2,2008,"Yes","Bob Atwater","DEM","18"
"17","NC STATE SENATE DISTRICT 18",2,2008,"Yes","Roger Gerber","REP","18"
"18","NC STATE SENATE DISTRICT 19",1,2008,"No","Tony Rand","DEM","19"
"19","NC STATE SENATE DISTRICT 2",2,2008,"Yes","Jean R. Preston","REP","2"
"20","NC STATE SENATE DISTRICT 2",2,2008,"Yes","Greg D. Muse","DEM","2"
"21","NC STATE SENATE DISTRICT 20",3,2008,"Yes","David C. Rollins","LIB","20"
"22","NC STATE SENATE DISTRICT 20",3,2008,"Yes","Floyd B. McKissick, Jr.","DEM","20"
"23","NC STATE SENATE DISTRICT 20",3,2008,"Yes","Kenneth R. (Ken) Chandler","REP","20"
"24","NC STATE SENATE DISTRICT 21",1,2008,"No","Larry Shaw","DEM","21"
"25","NC STATE SENATE DISTRICT 22",2,2008,"Yes","Harris Blake","REP","22"
"26","NC STATE SENATE DISTRICT 22",2,2008,"Yes","Abraham Oudeh","DEM","22"
"27","NC STATE SENATE DISTRICT 23",2,2008,"Yes","Ellie Kinnaird","DEM","23"
"28","NC STATE SENATE DISTRICT 23",2,2008,"Yes","Jon G. (Greg) Bass","REP","23"
"29","NC STATE SENATE DISTRICT 24",2,2008,"Yes","Richard W. (Rick) Gunn, Jr.","REP","24"
"30","NC STATE SENATE DISTRICT 24",2,2008,"Yes","Anthony (Tony) Foriest","DEM","24"
"31","NC STATE SENATE DISTRICT 25",2,2008,"Yes","Janice B. Abernathy","REP","25"
"32","NC STATE SENATE DISTRICT 25",2,2008,"Yes","Bill Purcell","DEM","25"
"33","NC STATE SENATE DISTRICT 26",1,2008,"No","Philip E. (Phil) Berger","REP","26"
"34","NC STATE SENATE DISTRICT 27",2,2008,"Yes","Joe Wilson","REP","27"
"35","NC STATE SENATE DISTRICT 27",2,2008,"Yes","Donald R. (Don) Vaughan","DEM","27"
"36","NC STATE SENATE DISTRICT 28",1,2008,"No","Katie G. Dorsett","DEM","28"
"37","NC STATE SENATE DISTRICT 29",3,2008,"Yes","WRITE-IN","","29"
"38","NC STATE SENATE DISTRICT 29",3,2008,"Yes","Ronald (Ron) Franklin","DEM","29"
"39","NC STATE SENATE DISTRICT 29",3,2008,"Yes","Jerry W. Tillman","REP","29"
"40","NC STATE SENATE DISTRICT 3",1,2008,"No","Clark Jenkins","DEM","3"
"41","NC STATE SENATE DISTRICT 30",1,2008,"No","Don W. East","REP","30"
"42","NC STATE SENATE DISTRICT 31",1,2008,"No","Peter Samuel (Pete) Brunstetter","REP","31"
"43","NC STATE SENATE DISTRICT 32",1,2008,"No","Linda Garrou","DEM","32"
"44","NC STATE SENATE DISTRICT 33",1,2008,"No","Stan Bingham","REP","33"
"45","NC STATE SENATE DISTRICT 34",2,2008,"Yes","Andrew C. Brock","REP","34"
"46","NC STATE SENATE DISTRICT 34",2,2008,"Yes","William A. Burnette","DEM","34"
"47","NC STATE SENATE DISTRICT 35",1,2008,"No","W. Edward (Eddie) Goodall, Jr.","REP","35"
"48","NC STATE SENATE DISTRICT 36",2,2008,"Yes","Charles Paxton","DEM","36"
"49","NC STATE SENATE DISTRICT 36",2,2008,"Yes","Fletcher L. Hartsell, Jr.","REP","36"
"50","NC STATE SENATE DISTRICT 37",3,2008,"Yes","Rusty Sheridan","LIB","37"
"51","NC STATE SENATE DISTRICT 37",3,2008,"Yes","Daniel G. Clodfelter","DEM","37"
"52","NC STATE SENATE DISTRICT 37",3,2008,"Yes","Vince Coscia","REP","37"
"53","NC STATE SENATE DISTRICT 38",3,2008,"Yes","C. Travis Wheat","LIB","38"
"54","NC STATE SENATE DISTRICT 38",3,2008,"Yes","Charlie Dannelly","DEM","38"
