"","contest","candidate_count","year","contested","choice","party","district"
"32","NC STATE SENATE DISTRICT 26",2,2012,"Yes","Philip E. (Phil) Berger","REP","26"
"33","NC STATE SENATE DISTRICT 26",2,2012,"Yes","Bobby R. Stanley","DEM","26"
"34","NC STATE SENATE DISTRICT 27",2,2012,"Yes","Trudy Wade","REP","27"
"35","NC STATE SENATE DISTRICT 27",2,2012,"Yes","Myra Slone","DEM","27"
"36","NC STATE SENATE DISTRICT 28",1,2012,"No","Gladys A. Robinson","DEM","28"
"37","NC STATE SENATE DISTRICT 29",1,2012,"No","Jerry W. Tillman","REP","29"
"38","NC STATE SENATE DISTRICT 3",1,2012,"No","Clark Jenkins","DEM","3"
"39","NC STATE SENATE DISTRICT 30",2,2012,"Yes","Ric Marshall","DEM","30"
"40","NC STATE SENATE DISTRICT 30",2,2012,"Yes","Shirley Randleman (replacement for Don W. East)","REP","30"
"41","NC STATE SENATE DISTRICT 31",2,2012,"Yes","Peter Samuel (Pete) Brunstetter","REP","31"
"42","NC STATE SENATE DISTRICT 31",2,2012,"Yes","Delmas Parker","DEM","31"
"43","NC STATE SENATE DISTRICT 32",2,2012,"Yes","Reginald Reid","REP","32"
"44","NC STATE SENATE DISTRICT 32",2,2012,"Yes","Earline W. Parmon","DEM","32"
"45","NC STATE SENATE DISTRICT 33",1,2012,"No","Stan Bingham","REP","33"
"46","NC STATE SENATE DISTRICT 34",1,2012,"No","Andrew C. Brock","REP","34"
"47","NC STATE SENATE DISTRICT 35",1,2012,"No","Tommy Tucker","REP","35"
"48","NC STATE SENATE DISTRICT 36",1,2012,"No","Fletcher L. Hartsell, Jr.","REP","36"
"49","NC STATE SENATE DISTRICT 37",2,2012,"Yes","Michael Alan Vadini","REP","37"
"50","NC STATE SENATE DISTRICT 37",2,2012,"Yes","Daniel (Dan) Clodfelter","DEM","37"
"51","NC STATE SENATE DISTRICT 38",2,2012,"Yes","Joel Ford","DEM","38"
"52","NC STATE SENATE DISTRICT 38",2,2012,"Yes","Richard Rivette","REP","38"
"53","NC STATE SENATE DISTRICT 39",2,2012,"Yes","Jack Flynn","DEM","39"
"54","NC STATE SENATE DISTRICT 39",2,2012,"Yes","Robert (Bob) Rucho","REP","39"
"55","NC STATE SENATE DISTRICT 4",2,2012,"Yes","Ed Jones","DEM","4"
"56","NC STATE SENATE DISTRICT 4",2,2012,"Yes","Warren Scott Nail","REP","4"
"57","NC STATE SENATE DISTRICT 40",2,2012,"Yes","Earl Lyndon Philip","REP","40"
"58","NC STATE SENATE DISTRICT 40",2,2012,"Yes","Malcolm Graham","DEM","40"
"59","NC STATE SENATE DISTRICT 41",1,2012,"No","Jeff Tarte","REP","41"
"60","NC STATE SENATE DISTRICT 42",2,2012,"Yes","Austin Allran","REP","42"
"61","NC STATE SENATE DISTRICT 42",2,2012,"Yes","Joseph (Jody) Inglefield","DEM","42"
"62","NC STATE SENATE DISTRICT 43",1,2012,"No","Kathy Harrington","REP","43"
"63","NC STATE SENATE DISTRICT 44",2,2012,"Yes","David Curtis","REP","44"
"64","NC STATE SENATE DISTRICT 44",2,2012,"Yes","Ross Bulla","DEM","44"
"65","NC STATE SENATE DISTRICT 45",2,2012,"Yes","Dan Soucek","REP","45"
"66","NC STATE SENATE DISTRICT 45",2,2012,"Yes","Roy J. Carter","DEM","45"
"67","NC STATE SENATE DISTRICT 46",3,2012,"Yes","Richard C. Evey","LIB","46"
"68","NC STATE SENATE DISTRICT 46",3,2012,"Yes","Warren Daniel","REP","46"
"69","NC STATE SENATE DISTRICT 46",3,2012,"Yes","John T. McDevitt","DEM","46"
"70","NC STATE SENATE DISTRICT 47",2,2012,"Yes","Phil Feagan","DEM","47"
"71","NC STATE SENATE DISTRICT 47",2,2012,"Yes","Ralph Hise","REP","47"
"72","NC STATE SENATE DISTRICT 48",1,2012,"No","Tom Apodaca","REP","48"
"73","NC STATE SENATE DISTRICT 49",2,2012,"Yes","RL Clark","REP","49"
"74","NC STATE SENATE DISTRICT 49",2,2012,"Yes","Martin L. Nesbitt","DEM","49"
"75","NC STATE SENATE DISTRICT 5",1,2012,"No","Don Davis","DEM","5"
"76","NC STATE SENATE DISTRICT 50",2,2012,"Yes","Jim Davis","REP","50"
"77","NC STATE SENATE DISTRICT 50",2,2012,"Yes","John Snow","DEM","50"
"78","NC STATE SENATE DISTRICT 6",1,2012,"No","Harry Brown","REP","6"
"79","NC STATE SENATE DISTRICT 7",1,2012,"No","Louis M. Pate, Jr.","REP","7"
"80","NC STATE SENATE DISTRICT 8",2,2012,"Yes","Danny Hefner","DEM","8"
"81","NC STATE SENATE DISTRICT 8",2,2012,"Yes","Bill Rabon","REP","8"
"82","NC STATE SENATE DISTRICT 9",2,2012,"Yes","Deb Butler","DEM","9"
"83","NC STATE SENATE DISTRICT 9",2,2012,"Yes","Thom Goolsby","REP","9"
