"","contest","candidate_count","year","contested","choice","party","district"
"1","NC STATE SENATE DISTRICT 1",2,2012,"Yes","Stan M. White","DEM","1"
"2","NC STATE SENATE DISTRICT 1",2,2012,"Yes","Bill Cook","REP","1"
"3","NC STATE SENATE DISTRICT 10",1,2012,"No","Brent Jackson","REP","10"
"4","NC STATE SENATE DISTRICT 11",2,2012,"Yes","Clarence A. Bender","DEM","11"
"5","NC STATE SENATE DISTRICT 11",2,2012,"Yes","Buck Newton","REP","11"
"6","NC STATE SENATE DISTRICT 12",2,2012,"Yes","Ronald Rabin","REP","12"
"7","NC STATE SENATE DISTRICT 12",2,2012,"Yes","Brad Salmon","DEM","12"
"8","NC STATE SENATE DISTRICT 13",2,2012,"Yes","Michael Walters","DEM","13"
"9","NC STATE SENATE DISTRICT 13",2,2012,"Yes","W. Bernard White, Jr.","REP","13"
"10","NC STATE SENATE DISTRICT 14",1,2012,"No","Dan Blue","DEM","14"
"11","NC STATE SENATE DISTRICT 15",2,2012,"Yes","Neal Hunt","REP","15"
"12","NC STATE SENATE DISTRICT 15",2,2012,"Yes","Sig Hutchinson","DEM","15"
"13","NC STATE SENATE DISTRICT 16",1,2012,"No","Josh Stein","DEM","16"
"14","NC STATE SENATE DISTRICT 17",2,2012,"Yes","Tamara Barringer","REP","17"
"15","NC STATE SENATE DISTRICT 17",2,2012,"Yes","Erv Portman","DEM","17"
"16","NC STATE SENATE DISTRICT 18",2,2012,"Yes","Chad Barefoot","REP","18"
"17","NC STATE SENATE DISTRICT 18",2,2012,"Yes","Doug Berger","DEM","18"
"18","NC STATE SENATE DISTRICT 19",2,2012,"Yes","Wesley Meredith","REP","19"
"19","NC STATE SENATE DISTRICT 19",2,2012,"Yes","George Tatum","DEM","19"
"20","NC STATE SENATE DISTRICT 2",2,2012,"Yes","Greg Muse","DEM","2"
"21","NC STATE SENATE DISTRICT 2",2,2012,"Yes","Norman Sanderson","REP","2"
"22","NC STATE SENATE DISTRICT 20",1,2012,"No","Floyd B. McKissick, Jr.","DEM","20"
"23","NC STATE SENATE DISTRICT 21",1,2012,"No","Robert B. Clark III","DEM","21"
"24","NC STATE SENATE DISTRICT 22",2,2012,"Yes","Milton Holmes","REP","22"
"25","NC STATE SENATE DISTRICT 22",2,2012,"Yes","Mike Woodard","DEM","22"
"26","NC STATE SENATE DISTRICT 23",2,2012,"Yes","Ellie Kinnaird","DEM","23"
"27","NC STATE SENATE DISTRICT 23",2,2012,"Yes","Dave Carter","REP","23"
"28","NC STATE SENATE DISTRICT 24",2,2012,"Yes","Brandon Black","LIB","24"
"29","NC STATE SENATE DISTRICT 24",2,2012,"Yes","Rick Gunn","REP","24"
"30","NC STATE SENATE DISTRICT 25",2,2012,"Yes","Gene McIntyre","REP","25"
"31","NC STATE SENATE DISTRICT 25",2,2012,"Yes","Gene McLaurin","DEM","25"
