"","year","contest","candidate_count","contested","choice","party","district"
"1",2000,"SENATE DISTRICT 02",1,"No","Frank W. Ballance, Jr.","DEM",11111111111
"2",2000,"SENATE DISTRICT 06",1,"No","R. L. (Bob) Martin","DEM",11111111111
"3",2000,"SENATE DISTRICT 19",1,"No","Robert G. (Bob) Shaw","REP",11111111111
"4",2000,"SENATE DISTRICT 22",1,"No","Fletcher L. Hartsell, Jr.","REP",11111111111
"5",2000,"SENATE DISTRICT 25",1,"No","David W. Hoyle","DEM",11111111111
"6",2000,"SENATE DISTRICT 26",1,"No","Austin Allran","REP",11111111111
"7",2000,"SENATE DISTRICT 31",1,"No","William N. (Bill) Martin","DEM",11111111111
"8",2000,"SENATE DISTRICT 33",1,"No","Charlie Dannelly","DEM",11111111111
"9",2000,"SENATE DISTRICT 39",1,"No","James (Jim) Forrester","REP",11111111111
"10",2000,"SENATE DISTRICT 41",1,"No","Larry Shaw","DEM",11111111111
